,Username,sentiment
640,Oluwashinaeze,
641,OmjiPrasad,
642,OnexXeo,
643,Ophietokoyo5,
644,Os_ra_,
645,OxFrx,
646,P3TRAPOD,
647,PADIERNAAV,
648,PFLstudio_it,
649,PLAYB0IMAFIA,
650,ParkminSolar,
651,Patrici78074185,
652,PauloJn81384855,
653,PavanChodisetti,
654,Pedro42085735,
655,PerkyAlways,
656,PeterAb84835023,
657,PeterMarrero14,
658,PhilomenaAdder1,
659,Phunminiyih,
660,Pijus77434835,
661,PirshotamC,
662,Portuga16804479,
663,PowerMa28532759,
664,Prakashcamden,
665,Preetam89953001,
666,PremPRaTiKEkka1,
667,Premnat27385049,
668,Prince2Bharath,
669,PrinceS35538142,
670,PritamD57326636,
671,Prithwi59179527,
672,Prmixe,
673,Publicinvester,
674,PunjabBhangu,
675,QSaman66,
676,QUEENNICOLEATL,
677,QaziMuhammadHu1,
678,QuamiFaculty,
679,QuiteRiotz,
680,Qusay_Altai,
681,RACRORACRO,
682,RDArmstrong1959,
683,RESET_owner,
684,RJPF14,
685,RLejand,
686,RachelPadovan,
687,RafaelMourao19,
688,RahulShip,
689,RajPattnaik19,
690,RajeshR61053122,
691,RajveerNagar20,
692,RakibHo26171497,
693,RalphSPettit,
694,Ralph_Rungg,
695,Ramdasi3Avdhut,
696,RatulChaudhary2,
697,Raushan89789,
698,RausoLuis,
699,Rauulllg,
700,RaviHadapad17,
701,RayirhK,
702,Raymond55347441,
703,Raymond68658471,
704,RcjVdj911,
705,Reallycierra,
706,RedPaperNews,
707,RejaneBorba1,
708,RenanOl36204628,
709,Reneedaisy,
710,Reza40819914,
711,Rikisub95964927,
712,RipusudanMahtha,
713,RishiMa80262561,
714,Rksharma145,
715,RobbieK38,
716,Roberto55984811,
717,Robin07800522,
718,RobinHood1907,
719,RocketLauncM,
720,RodrigoSgrancio,
721,RodriguezL5,
722,RohanSi86816613,
723,RonRKirkpatrick,
724,Ronaldo67209200,
725,Roshanubaid1,
726,RoysSolano,
727,Rudolf_Strobl,
728,RuffCoins11,
729,Russel_0326,
730,SChaughtai,
731,SHERAZFAM,
732,SHIVAM_1234515,
733,SH_William,
734,SOPHEAKKHUT777,
735,SSS__Crypto,
736,STantalidis,
737,SURAJIT9051,
738,Sabber914,
739,SabbirA72328732,
740,Sacrifice_King,
741,SajFruits,
742,SamerAsfour,
743,Sami_ansari9,
744,Samire53965899,
745,Samiron09,
746,Sammysticx,
747,SamuelE42284145,
748,Sanatan44931091,
749,Sang2090,
750,SangamS25840644,
751,SanjayK06481519,
752,SaraIsa07,
753,Saro67945956,
754,SarthakKhandur6,
755,SathavaraJ,
756,Saumyaupadhyayy,
757,SavageKitton,
758,SaysSameer,
759,ScarlettAngell,
760,Seb_fecamp,
761,SebastianWurzi1,
762,Semper_Probus,
763,SergioC57843651,
764,Sfmb_Mo,
765,Shabarish30,
766,ShabirLone27,
767,Shadiiixx7,
768,Shaharryar,
769,ShahidIqbal9092,
770,Shahroz73813855,
771,ShantanuKhanna8,
772,Shibariumism,
773,Shoaib_bw_,
774,ShrutiGaitonde,
775,Shubham_853,
776,SiddeshNayaka3,
777,Siggy__1,
778,Sir_PhM,
779,Smile35587339,
780,SoniaStephen9,
781,SoravRajak,
782,SoukhyaS,
783,SoyLaEdi,
784,SpaceX2003,
785,SrodriguezA_,
786,Stalwart_15,
787,Startgov,
788,StephComoe,
789,Stephannnii,
790,Stephanthomas_,
791,StulceWesley,
792,Subhash12997707,
793,Sunfl0werBH,
794,Sunny_G10,
795,Sunriise23,
796,SuppliesHill,
797,Surendr83652435,
798,Swathi77576161,
799,Swifty_0922,
800,TCapitalistman,
801,TContemplativa,
802,TahaHealing,
803,Tarungurjar77,
804,TechMichael2,
805,Ted87459602,
806,Tellomilk,
807,Terrascout1149,
808,TersinhaRosin,
809,TetteyNyerere,
810,TevohMreggae,
811,ThagirlVinarose,
812,Thai_Replubica,
813,Thaonguyen1963,
814,TheBigRedBear76,
815,TheGSStudio,
816,TheKitchen180,
817,TheSquareJordan,
818,TheSquishy07,
819,ThegameronFireT,
820,Thisprettylady4,
821,ThomasHui9,
822,ToddPMarco,
823,Trexsetup,
824,TrollerDvp,
825,TssENqQaOmQXyxf,
826,Tylerscott012,
827,UFakson,
828,UPopcorn666,
829,USFacificFleet,
830,UchoaRochaRoch1,
831,Uefa12237087,
832,Ujjwal_tkd03,
833,UmairAli55HN,
834,Umar58878519,
835,Usama9302,
836,UsamaTauqeer2,
837,User772101,
838,VIBHAWSRIVASTA,
839,Vansh_Jain_01,
840,VibhuGoel10,
841,VictorD52888757,
842,VictorManuel968,
843,VictorVecci,
844,VictorY18543393,
845,Victorglezk,
846,Vipintvm250,
847,ViveWithJeremy,
848,Vivek_Tripathii,
849,Viviana_Dide,
850,Vladi67349897,
851,VrijeshPandey3,
852,WCN6ChPUperUwup,
853,WENTOMMY33,
854,WaqasKh31944888,
855,Wellaxml5,
856,Wellinght0n89,
857,WilfredZyl,
858,WillBarbalat,
859,WilliamLackman1,
860,Windbody_core,
861,Wosep02,
862,WuQizhen_TuiTe,
863,XIOMY_COR,
864,XSabias,
865,Xraq_02,
866,YaelSanchezs,
867,Yandryrojas04,
868,Yasinn2708,
869,Zahidkh70117295,
870,ZedsDad,
871,Zeinabe19867643,
872,ZiferioR,
873,Zoro7roronoa7,
874,ZvZ21l,
875,_TLR_TLR_,
876,_Vansh_Thakur_,
877,__AhmedOsman__,
878,__Zo__Ma,
879,__bubbazza__,
880,__mrcharra,
881,__popopopon1303,
882,__watuluv__,
883,_andresiito_,
884,_tatafo,
885,_tenchoelama_,
886,_wicked1x,
887,_yozorakakeru_,
888,a1icie,
889,a215564,
890,aadhil696,
891,aadil_wordpress,
892,aaron_james84,
893,aban_aslam,
894,abdars,
